Time_Step,Timestamp,Vehicle_ID,State,SoC,SoH,Power_kW,Building_Load_kW,Total_Grid_Power,Grid_Price,Completed_Rides_Global,Skipped_Rides_Global,Taxi_Profit_Global,V2B_Revenue_Global
0,2024-01-01 00:00:01,0,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,1,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,2,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,3,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,4,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,5,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,6,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,7,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,8,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,9,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,10,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,11,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,12,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,13,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,14,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,15,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,16,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,17,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,18,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,19,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,20,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,21,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,22,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,23,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,24,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,25,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,26,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,27,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,28,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,29,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,30,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,31,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,32,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
0,2024-01-01 00:00:01,33,IDLE,1.0000,1.0000,0.0000,0.00,0.00,0.0000,0,0,0.00,0.0000
